review_id,review_text,brand,product,date,sentiment,user_verified,rating
b1e35bc0-0fa3-4e11-819d-10fd955c7546,Highly recommend. Packaging was okay,Gadgetron,Phone,2022-12-22,Positive,True,5
a8141b04-6c42-4851-b56e-99a04376f817,Love it. Delivery was fast,NovaTech,Phone,2021-12-28,Positive,False,5
80f9b9d0-3ca1-4013-b0c0-30833ba19c79,Works flawlessly. Could be better,SmartWare,Camera,2021-07-13,Positive,True,4
2b1f2895-7a32-45f7-b725-d669a189c448,Great value for money. Packaging was okay,TechPro,Tablet,2022-09-16,Positive,True,5
e8634ccd-9f61-4d18-8d37-6aa2d01b1a00,Highly recommend. Still testing the features,SmartWare,Phone,2022-06-09,Positive,True,4
5a9e32fa-c2ec-4da3-8a06-ce6b58b57b5b,Perfect product. No issues with delivery,NovaTech,Camera,2023-12-28,Positive,True,5
88b5158d-9188-497d-8661-427943755ffe,Worth every penny. Still testing the features,Gadgetron,Laptop,2021-10-03,Positive,True,5
23cd9ac3-0007-401c-98d3-4d952447e17f,Exceeded my expectations. It's an average product,NovaTech,Tablet,2021-02-08,Positive,False,4
18eadc19-0d8a-4740-9049-a5f6d1c0124a,Perfect product. No issues with delivery,Gadgetron,Tablet,2023-08-30,Positive,True,5
31ab2354-586e-4e96-ac90-b2c549efdaae,Love it. Delivery was fast,NovaTech,Phone,2022-04-05,Positive,False,5
a0105f6c-6234-4d56-a663-cfb845c44e2f,Works flawlessly. No issues with delivery,TechPro,Camera,2022-06-03,Positive,False,4
38ec457b-6eeb-426f-b995-2b380f79007b,Worth every penny. Still testing the features,Gadgetron,Phone,2023-06-23,Positive,False,4
df76faea-96e7-4f46-b209-e0ca16bd45b4,Love it. Packaging was okay,NovaTech,Laptop,2022-12-09,Positive,False,5
8e7792d0-b43a-49d7-a2e6-6229796e4c51,Highly recommend. Still testing the features,TechPro,Laptop,2021-11-01,Positive,False,5
b9b059f8-ac35-4fe3-b4d6-c419419b7fb0,Absolutely amazing. Packaging was okay,TechPro,Phone,2023-11-22,Positive,True,5
7e5a7ca8-b0a9-4aa5-a16c-e3b339d1ebcd,Love it. Just starting to use it,NovaTech,Phone,2023-03-04,Positive,True,5
b35f3ae3-a8f3-456b-9168-ddf8798bc48d,Perfect product. Packaging was okay,TechPro,Tablet,2023-08-24,Positive,False,5
b36a410c-147f-45a0-92d0-c27ac4b09586,Perfect product. It's an average product,NovaTech,Laptop,2021-01-01,Positive,True,4
3b58916b-ca8e-4246-9430-a71d1370df49,Exceeded my expectations. It's an average product,TechPro,Phone,2023-02-18,Positive,False,5
623035c5-1948-44d6-9741-1ba5787ce442,Worth every penny. Just starting to use it,NovaTech,Camera,2023-06-10,Positive,False,4
03292d94-d04f-4e0a-a1c7-0efd2b723d58,Exceeded my expectations. Still testing the features,NovaTech,Laptop,2022-10-06,Positive,False,4
8c847fc7-c2c3-47ee-bc50-4d41ebafdac4,Works flawlessly. Could be better,NovaTech,Camera,2022-08-20,Positive,False,5
c7060682-48f4-4b87-9a61-497cb41d86e6,Worth every penny. Packaging was okay,Gadgetron,Laptop,2021-08-09,Positive,True,5
9667c3dd-9c8a-4553-b1b1-99c778c74c25,Highly recommend. No issues with delivery,SmartWare,Camera,2021-10-12,Positive,False,4
d91ce6e0-f675-44f8-bd08-9e4329296965,Worth every penny. Packaging was okay,Gadgetron,Camera,2021-07-31,Positive,False,4
4630e0ba-0b1a-44dd-a370-e420fd259cda,Very satisfied. Packaging was okay,TechPro,Laptop,2021-01-02,Positive,True,5
7b5a9ed9-0284-4949-9b20-6a0360d1f4d8,Great value for money. Still testing the features,Gadgetron,Phone,2023-04-01,Positive,True,4
0415ffd3-cc9b-43b5-b232-540fb12ace1b,Works flawlessly. Delivery was fast,Gadgetron,Phone,2022-04-22,Positive,False,5
db2a7553-74b5-43c7-8e80-8249ed6ba880,Absolutely amazing. It's an average product,TechPro,Laptop,2023-08-05,Positive,False,5
b8a44d42-4544-4e05-a6c9-de7e40035c9a,Perfect product. Delivery was fast,Gadgetron,Tablet,2023-04-09,Positive,False,5
972e8c97-ac05-4bc1-aa5f-80f7f7a6a0e7,Love it. Could be better,SmartWare,Camera,2022-12-14,Positive,True,5
650d81df-214f-4459-b418-5e3d845ed2ea,Absolutely amazing. Just starting to use it,SmartWare,Camera,2023-02-27,Positive,False,5
28bf04b2-a0ac-47fe-8a23-d3f22c5bffa7,Love it. No issues with delivery,Gadgetron,Camera,2022-08-26,Positive,True,5
a89a94f1-e12b-4253-ac97-f3902dbe7c74,Great value for money. Just starting to use it,NovaTech,Phone,2022-12-09,Positive,False,4
dc89a315-86fb-4125-95cc-d913e5c187af,Perfect product. Packaging was okay,SmartWare,Camera,2021-01-04,Positive,False,5
696a1369-a20f-41dc-a548-ab975e54e4c4,Great value for money. No issues with delivery,NovaTech,Phone,2023-06-02,Positive,False,4
9e9313a9-2d3b-46d6-96da-552b28a82aa6,Love it. Still testing the features,Gadgetron,Laptop,2023-09-04,Positive,False,4
246208b1-bccb-4c80-ac9a-67bd9d63c6ae,Very satisfied. It's an average product,TechPro,Camera,2022-01-23,Positive,False,5
900ae383-cf90-47da-8ebc-913ef47793ff,Perfect product. Still testing the features,Gadgetron,Camera,2022-01-03,Positive,True,5
2e0ba43b-780b-47a0-befe-edd966e29a90,Love it. Just starting to use it,NovaTech,Phone,2023-05-26,Positive,True,4
5d9ec0ba-2e97-4ddc-b634-7782f14b2beb,Very satisfied. Just starting to use it,Gadgetron,Laptop,2022-09-04,Positive,False,5
a7103515-894e-4659-b94c-ffad2cfc6aca,Worth every penny. Packaging was okay,NovaTech,Phone,2022-09-13,Positive,False,4
9a3dea9b-c4ea-40ed-af11-31c8a21059fe,Love it. No issues with delivery,NovaTech,Tablet,2022-03-28,Positive,False,4
0870ff6b-f22c-40c9-a3bd-e9544fa260b3,Exceeded my expectations. Delivery was fast,Gadgetron,Tablet,2022-05-19,Positive,True,5
35d703a0-5883-4bf3-90fd-3564978d5f83,Absolutely amazing. Still testing the features,TechPro,Laptop,2021-06-16,Positive,True,4
9dcfb22e-ff1f-49c0-a02c-d8a1b0ce694b,Love it. Delivery was fast,NovaTech,Phone,2021-03-19,Positive,False,4
dc709f14-3fb8-4b50-a906-d85d29f74f9c,Absolutely amazing. Just starting to use it,Gadgetron,Tablet,2022-03-22,Positive,True,5
7f08e9d2-e027-41be-ab85-22ee00417bce,Exceeded my expectations. Still testing the features,SmartWare,Camera,2023-06-04,Positive,True,5
05c8eeaf-af60-4816-beba-aaf1c3459893,Works flawlessly. Packaging was okay,NovaTech,Laptop,2021-12-20,Positive,False,4
0723d21c-248b-41a9-874c-a03377f0405f,Great value for money. It's an average product,TechPro,Tablet,2021-04-26,Positive,False,4
55947319-8971-4fa6-996e-4f80fd804fea,Perfect product. No issues with delivery,SmartWare,Phone,2023-09-20,Positive,True,5
633f3a1a-5a4a-4056-b50e-5c8008f95a7e,Very satisfied. Still testing the features,Gadgetron,Tablet,2021-03-14,Positive,False,5
bf9dba88-272b-448a-960c-a9e57b8dcc26,Very satisfied. Still testing the features,TechPro,Phone,2023-02-16,Positive,False,4
f5a1e6bb-646e-49b4-960f-b84c446daa36,Exceeded my expectations. Could be better,NovaTech,Laptop,2022-05-09,Positive,True,4
f47c234e-a65b-4145-ac32-786ebe460b7f,Very satisfied. Still testing the features,TechPro,Camera,2021-10-15,Positive,True,4
54b94466-6d78-4867-b382-a40fcbe8f67e,Exceeded my expectations. Packaging was okay,NovaTech,Laptop,2023-06-21,Positive,True,4
7d2647b9-edd5-412b-880a-d64f4011fb07,Great value for money. Could be better,SmartWare,Phone,2023-03-07,Positive,True,5
ae64ac60-f183-4457-aea7-9da9639e5c8b,Exceeded my expectations. Packaging was okay,SmartWare,Laptop,2021-08-21,Positive,False,5
cb67eb61-ab8c-41a9-87f3-2c943885c761,Very satisfied. Could be better,Gadgetron,Camera,2022-08-06,Positive,False,5
516a3863-68f1-4243-8761-8581862bd9cc,Very satisfied. Delivery was fast,TechPro,Phone,2021-09-04,Positive,True,5
6ffb90ca-af08-490f-aa4f-f70197b3c827,Perfect product. It's an average product,Gadgetron,Phone,2023-04-14,Positive,False,5
4f374074-cdca-4b3f-af27-5f74c5902f6e,Perfect product. It's an average product,TechPro,Tablet,2023-11-18,Positive,False,5
3d293991-0e04-4f83-ad33-9bec5ff51b87,Works flawlessly. It's an average product,TechPro,Camera,2023-07-21,Positive,False,4
8524b139-7dc5-4c47-b1c2-f964b3e9ec51,Works flawlessly. It's an average product,NovaTech,Camera,2022-12-17,Positive,True,4
e9087bf6-4c68-41d5-a919-d0cabf55115a,Great value for money. Just starting to use it,SmartWare,Laptop,2022-05-30,Positive,False,5
32a79fe9-1849-4bfe-906e-31ddfa8b3b2f,Love it. Could be better,NovaTech,Laptop,2023-08-12,Positive,True,5
